Company,Page_Number,Keyword,Frequency,Context_Snippet
Ahold Delhaize,295,Scope 3,9," 2,440 39 % 2,575 (5.2) % 5.4% 2,005 4.2 % 401 4.1 % 2020 2020 near long 2020 term2 term3 Near term Scope 3 GHG emissions1 Actual SBTi SBTi Actual SBTi Actual Gross indirect (scope 3) GHG emissions 60,403 61"
Ahold Delhaize,296,Scope 3,10,es continued Environmental indicators continued Overview of the calculation of our SBTi-methodology scope 3 emissions Actual values Near-term SBTi target and performance Long-term SBTi target % inclusion 202
Ahold Delhaize,297,Scope 3,2,l Corporate Accounting and Reporting Standard. We 2 million net sales) 0.69 0.72 (5.3) % report our scope 3 GHG emissions with reference to the latest version of the Greenhouse Gas Protocol Corporate Value C
Ahold Delhaize,298,Scope 3,16,"ues of all refrigerant provided also puts a burden on our local brands. For this reason, we collect scope 3 GHG- blends used in Ahold Delhaize facilities were calculated based on GWP values of refrigerants f"
Ahold Delhaize,299,Scope 3,2," emissions are calculated using the distance-based method. Ahold Delhaize brands in connection with scope 3 emissions, reducing the use of assumptions and estimates, request emissions data directly from the "
Ahold Delhaize,300,Scope 3,5,"umbers reported Scope 1 – Own transport 250 0.3 251 for scope 1 and 2, and categories 3, 4 and 7 of scope 3, as well as prior year and the baseline Gross location-based scope 2 GHG emissions 1,646 (7) 1,640 "
Ahold Delhaize,302,fair trade,1,nd products containing over 1% coffee by weight certified against an accepted standard 98.1% 97.4% óFair Trade USA/Fairtrade/FLO-CERT/Fairtrade Sourcing Program Percentage of own-brand products containing over 
Ahold Delhaize,303,deforestation,1,"adder. High-risk soy is defined as soy that comes from South America, which can potentially lead to deforestation and degradation of valuable Percentage of shell eggs that are cage free 53% 47% ecosystems such as "
Ahold Delhaize,310,circular economy,1," may seem to fall under the activity “4.1. Electricity digestion or composting and contributes to a circular economy by diverting waste from landfills, generation using solar photovoltaic technology,” all our solar p"
Ahold Delhaize,312,circular economy,1,portion of Taxonomy- Taxonomy-aligned KPI Climate change mitigation Climate change adaptation Water Circular economy Pollution Biodiversity Enabling activity Transitional activity aligned in Taxonomy eligible Proport
Ahold Delhaize,325,Scope 3,1,"ted to fraud did not result in an additional (scope 1 and 2) as well as for the entire value chain (scope 3) to support the objective of limiting key audit matter. We communicated our risk assessment, audit "
